Control ID,Control Name,CCI,CCI Definition,Status,Risk Level,Assessment Date,Assessor,Comments
AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,CCI-003725,Provide the capability to associate organization-defined privacy attributes with organization-defined subjects by authorized individuals (or processes acting on behalf of individuals).,,,,,
AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,CCI-003726,Provide the capability to associate organization-defined privacy attributes with organization-defined objects by authorized individuals (or processes acting on behalf of individuals).,,,,,
AC-16(5),Security and Privacy Attributes | Attribute Displays on Objects to Be Output,CCI-001428,"Display security attributes in human-readable form on each object that the system transmits to output devices to identify organization-identified special dissemination, handling, or distribution instructions using organization-identified human-readable, standard naming conventions.",,,,,
AC-16(5),Security and Privacy Attributes | Attribute Displays on Objects to Be Output,CCI-001429,"Identify special dissemination, handling, or distribution instructions for identifying security attributes on output.",,,,,
AC-16(5),Security and Privacy Attributes | Attribute Displays on Objects to Be Output,CCI-001430,"Identify human-readable, standard naming conventions for identifying security attributes on output.",,,,,
AC-16(5),Security and Privacy Attributes | Attribute Displays on Objects to Be Output,CCI-003727,"Displays privacy attributes in human-readable form on each object that the system transmits to output devices to identify organization-identified special dissemination, handling, or distribution instructions using organization-identified human-readable, standard naming conventions.",,,,,
AC-16(5),Security and Privacy Attributes | Attribute Displays on Objects to Be Output,CCI-003728,"Identifies special dissemination, handling, or distribution instructions for identifying privacy attributes on output.",,,,,
AC-16(5),Security and Privacy Attributes | Attribute Displays on Objects to Be Output,CCI-003729,"Identifies human-readable, standard naming conventions for identifying privacy attributes on output.",,,,,
AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,CCI-002291,Defines the security policies to be followed by personnel when associating organization-defined security attributes with organization-defined subjects and objects.,,,,,
AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,CCI-002292,Defines the security attributes which are to be associated with organization-defined subjects and objects.,,,,,
AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,CCI-002293,"Defines the subjects to be associated, and that association maintained, with organization-defined security attributes in accordance with organization-defined security policies.",,,,,
AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,CCI-002294,"Defines the objects to be associated, and that association maintained, with organization-defined security attributes in accordance with organization-defined security policies.",,,,,
AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,CCI-002295,Require personnel to associate organization-defined security attributes with organization-defined subjects in accordance with organization-defined security policies.,,,,,
AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,CCI-002296,Require personnel to associate organization-defined security attributes with organization-defined objects in accordance with organization-defined security policies.,,,,,
AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,CCI-002297,Require personnel to maintain the association of organization-defined security attributes with organization-defined subjects in accordance with organization-defined security policies.,,,,,
AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,CCI-002298,Require personnel to maintain the association of organization-defined security attributes with organization-defined objects in accordance with organization-defined security policies.,,,,,
AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,CCI-003730,Defines the privacy policies to be followed by personnel when associating organization-defined privacy attributes with organization-defined subjects and objects.,,,,,
